Recording timestamp	Eye movement type index	Gaze event duration	Fixation point X	Fixation point Y	target	phone_x	phone_y
1531467.0	2162	320.0	950.0	484.0	cell phone	0.7617218044860669	0.5569606537938152
1531697.0	2163	100.0	874.0	545.0	cell phone	0.5241032176595359	0.6417154261117125
1531977.0	2164	100.0	890.0	512.0	cell phone	0.5027899828349393	0.6087424899405954
1532337.0	2165	500.0	908.0	489.0	cell phone	0.5376902980713917	0.5885348557089257
1532897.0	2166	500.0	855.0	295.0	cell phone	0.36603330870195855	0.18084400596019892
1533226.0	2167	120.0	848.0	267.0	cell phone	0.3567050910309221	0.16715541055144537
1533556.0	2168	180.0	942.0	490.0	cell phone	0.5115467798840128	0.5550298992146466
1533996.0	2169	140.0	833.0	259.0	cell phone	0.4881223132032517	0.16186104423729603
1534146.0	2170	80.0	920.0	474.0	cell phone	0.5599022004889975	0.5308441558441559
1534276.0	2171	100.0	879.0	474.0	cell phone	0.47338381263239976	0.5549125805926624
1534626.0	2172	560.0	892.0	481.0	cell phone	0.49909514921132875	0.5104462164072091
1535206.0	2173	320.0	858.0	260.0	cell phone	0.5374643441407588	0.14498632699418984
1535626.0	2174	400.0	965.0	505.0	cell phone	0.5182798333230351	0.6606675437923523
1536076.0	2175	340.0	975.0	492.0	cell phone	0.5961122423872814	0.6604799400346942
1536356.0	2176	160.0	862.0	515.0	cell phone	0.3290698225447328	0.6087888842035094
1536736.0	2177	580.0	978.0	466.0	cell phone	0.7425881618043899	0.5431786555573643
1537275.0	2178	380.0	865.0	233.0	cell phone	0.6071092390304622	0.14613045539983163
1539755.0	2179	4459.0	890.0	504.0	cell phone	0.38065232705691854	0.6107972080990094
1542334.0	2180	580.0	827.0	275.0	cell phone	0.16754871706549354	0.16838870851526408
1542934.0	2181	540.0	934.0	447.0	cell phone	0.45944257584153947	0.447969655015015
1544674.0	2182	2679.0	933.0	349.0	cell phone	0.5631054669919571	0.07354007828678678
1546273.0	2183	340.0	907.0	498.0	cell phone	0.5758226107198001	0.7085985450685378
1547803.0	2184	2359.0	938.0	334.0	cell phone	0.6542857142857142	0.050314465408805034
1549283.0	2185	560.0	914.0	471.0	cell phone	0.4610768473648757	0.4829343222820592
1550482.0	2186	80.0	181.0	135.0	wall		
1550902.0	2187	360.0	724.0	159.0	tree		
1551282.0	2188	360.0	733.0	169.0	tree		
1551982.0	2189	520.0	948.0	448.0	cell phone	0.750632260961865	0.5289327005524552
1552642.0	2190	720.0	964.0	290.0	cell phone	0.43945252187166195	0.047747380032261005
1553282.0	2191	440.0	914.0	333.0	cell phone	0.48253845291842423	0.10613994042163498
1553632.0	2192	180.0	1045.0	413.0	cell phone	0.4785710704368028	0.34113708025905637
1553961.0	2193	320.0	975.0	450.0	cell phone	0.5850937215636426	0.4659368661381076
1554761.0	2194	800.0	1008.0	477.0	cell phone	0.648244076190624	0.5909609956603112
1555511.0	2195	560.0	987.0	453.0	cell phone	0.5719596541628957	0.5892263143995847
1556391.0	2196	1080.0	892.0	310.0	cell phone	0.2568717324267026	0.07493302941123972
1557141.0	2197	360.0	1001.0	459.0	cell phone	0.8390696909127814	0.6592533504304624
1557471.0	2198	100.0	779.0	71.0	cell phone	0.3004285439076901	0.06504992705495662
1557701.0	2199	320.0	851.0	180.0	cell phone	0.3728726791060878	0.08186263261379934
1558080.0	2200	360.0	1024.0	242.0	cell phone	0.8893974855819852	0.06579186223522036
1558450.0	2201	220.0	982.0	506.0	cell phone	0.8881691801531476	0.6570894549258888
1558740.0	2202	160.0	898.0	204.0	cell phone	0.7110043747705072	0.12002422691984221
1559400.0	2203	1120.0	865.0	343.0	cell phone	0.192171543674185	0.08197206469919752
1560120.0	2204	240.0	1009.0	510.0	cell phone	0.8357762976309739	0.7496318333025703
1561040.0	2205	1560.0	898.0	348.0	cell phone	0.45453961607394155	0.6871119349079382
1562179.0	2206	680.0	981.0	390.0	cell phone	0.7148989042972523	0.5642132362400644
1562669.0	2207	260.0	903.0	466.0	cell phone	0.625050178532701	0.6198394903641281
1562909.0	2208	140.0	853.0	333.0	cell phone	0.41215923139363086	0.3898854834789681
1563289.0	2209	580.0	878.0	259.0	cell phone	0.573352799380079	0.09924240038673732
1563909.0	2210	580.0	928.0	420.0	cell phone	0.7024647887323944	0.5064935064935064
1564509.0	2211	580.0	901.0	398.0	cell phone	0.4727438999247947	0.45532788421234294
1565109.0	2212	580.0	905.0	240.0	cell phone	0.568709597564661	0.11108910481562288
1565849.0	2213	880.0	898.0	300.0	cell phone	0.20332496037331987	0.05252274958091563
1566608.0	2214	600.0	861.0	344.0	pavement		
1567098.0	2215	160.0	988.0	428.0	cell phone	0.591459592713862	0.2999955658457389
1567388.0	2216	260.0	897.0	417.0	cell phone	0.5337734347056668	0.5801592933720999
1567598.0	2217	120.0	928.0	436.0	cell phone	0.6822287483508762	0.6029741687025634
1568138.0	2218	920.0	851.0	425.0	cell phone	0.5802316040354251	0.5371261041897747
1569418.0	2219	1440.0	916.0	427.0	cell phone	0.4894688029659131	0.4585279493113361
1570257.5	2220	200.0	882.0	329.0	cell phone	0.4481330526019081	0.4197191297340592
1570857.0	2221	800.0	866.0	231.0	pavement		
1572447.0	2222	100.0	885.0	163.0	building		
1572617.0	2223	200.0	800.0	195.0	building		
1572807.0	2224	140.0	761.0	161.0	building		
1573177.0	2225	280.0	1048.0	161.0	building		
1573747.0	2226	300.0	932.0	290.0	cell phone	0.6016192073023037	0.41241998645914285
1574097.0	2227	360.0	840.0	100.0	cell phone	0.4062034321982528	0.11069410443369664
1575956.0	2228	3319.0	915.0	137.0	cell phone	0.5213659264871364	0.1396095333677227
1577976.0	2229	640.0	944.0	362.0	cell phone	0.5218579234972678	0.586709886547812
1578875.0	2230	920.0	823.0	128.0	cell phone	0.36978251912148574	0.12635849936211793
1579895.0	2231	1000.0	902.0	338.0	cell phone	0.5644698404622821	0.5706140443107746
1580655.0	2232	240.0	848.0	84.0	cell phone	0.46809694321082945	0.09103554361771451
1582025.0	2233	100.0	1029.0	52.0	building		
1583315.0	2234	160.0	997.0	382.0	cell phone	0.5662659527084603	0.3604607601484255
1583534.0	2235	240.0	885.0	237.0	cell phone	0.4025283990504721	0.20076357205898396
1584774.0	2236	2139.0	938.0	324.0	cell phone	0.5882844137374758	0.5333880391512646
1586984.0	2237	2199.0	986.0	350.0	cell phone	0.6389976704195549	0.5841076321641246
1588323.0	2238	220.0	1000.0	132.0	cell phone	0.6156615177112793	0.045560059895014285
1588843.0	2239	700.0	933.0	444.0	cell phone	0.7443843136764455	0.5522104645401691
1589603.0	2240	660.0	936.0	467.0	cell phone	0.6956378883077187	0.6181541872028203
1590213.0	2241	480.0	828.0	232.0	cell phone	0.1656850769627133	0.08820407588748307
1590803.0	2242	540.0	917.0	433.0	cell phone	0.7661747168613026	0.6637806961316816
1591562.0	2243	780.0	930.0	419.0	cell phone	0.6480856706178056	0.5702734063107541
1592102.0	2244	220.0	848.0	309.0	cell phone	0.21146822475084073	0.23775456987971572
1592562.0	2245	660.0	1015.0	398.0	cell phone	0.5209590386276582	0.26976544228030064
1593412.0	2246	760.0	995.0	452.0	cell phone	0.6643673598015466	0.6364701263225866
1594132.0	2247	600.0	885.0	238.0	cell phone	0.09595660263718017	0.04974912256852911
1594872.0	2248	640.0	986.0	414.0	cell phone	0.6885643018841037	0.6209943765125648
1595801.0	2249	1000.0	908.0	446.0	cell phone	0.6324028006493787	0.5407432226977531
1596581.0	2250	480.0	972.0	324.0	cell phone	0.8395443395641597	0.40229625623420456
1597161.0	2251	620.0	812.0	330.0	cell phone	0.08580288895118073	0.36024602765410396
1597961.0	2252	940.0	963.0	406.0	cell phone	0.6050624064073692	0.48677006169911496
1598791.0	2253	520.0	925.0	425.0	cell phone	0.5898165048787263	0.4877211367078405
1600500.0	2254	820.0	963.0	406.0	cell phone	0.5752504400869285	0.5080028389641675
1601130.0	2255	400.0	951.0	301.0	cell phone	0.42438116171224993	0.16892912303491867
1601450.0	2256	200.0	980.0	329.0	cell phone	0.5244001311065156	0.22903308701288613
1602280.0	2257	1420.0	987.0	423.0	cell phone	0.61863156935327	0.4877146785586004
